,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Home,DRtg,Pace,eFG%,TOV%,DRB%,FT/FGA,Unnamed: 21
0,34.65,7,16,.438,1,4,.250,1,1,1.000,0,5,5,4,0,2,2,3,16,1.0165300454651272,-0.9498593879136863,-0.903674637036415,-1.01057471366683,0.46063951775521905,-0.21299922111731132,-0.6537835738672115,
1,34.7,7,13,.538,2,5,.400,5,8,.625,0,4,4,8,0,0,2,1,21,1.0165300454651272,1.305849687277056,-0.7934263313179719,0.11024451421819545,-1.564514398141594,-0.5824670643824221,0.04793134705771277,
2,33.766666666666666,12,22,.545,4,9,.444,4,4,1.000,0,14,14,10,0,1,5,3,32,1.0165300454651272,0.16116149986682712,-0.07681234414810292,0.6275456963189764,-0.045648961218984256,1.4496060735757048,0.6326937811618164,
3,33.766666666666666,12,22,.545,4,9,.444,4,4,1.000,0,14,14,10,0,1,5,3,32,1.0165300454651272,0.16116149986682712,-0.07681234414810292,0.6275456963189764,-0.045648961218984256,1.4496060735757048,0.6326937811618164,
4,35.8,3,14,.214,2,5,.400,3,6,.500,0,5,5,8,1,0,2,1,11,-0.9837387536759294,1.305849687277056,-0.7934263313179719,0.11024451421819545,-1.564514398141594,-0.5824670643824221,0.04793134705771277,
5,28.966666666666665,9,13,.692,1,3,.333,7,7,1.000,1,5,6,3,0,0,6,2,26,-0.9837387536759294,-1.0845285864325385,0.5846774901625483,-1.5278758957676108,0.12311386510575119,0.34120254378036363,-0.5953073304568012,
6,36.25,9,17,.529,5,8,.625,4,6,.667,0,6,6,10,1,0,0,1,27,-0.9837387536759294,0.46416719653424204,0.08856011442955794,0.11024451421819545,0.12311386510575119,-0.8287789598925018,1.9191711361908428,
7,40.0,7,16,.438,1,2,.500,5,5,1.000,1,7,8,11,2,0,1,1,20,-0.9837387536759294,-0.7141882905056974,0.5846774901625483,-0.23462294051565852,0.6294023440799545,1.3880280996981804,1.2759324586763288,
8,35.416666666666664,15,24,.625,6,11,.545,3,4,.750,0,7,7,6,1,0,5,2,39,-0.9837387536759294,-0.7141882905056974,2.62427114595372,-1.01057471366683,0.2918766914304851,-0.3361551688723512,0.574217537751406,
9,33.8,9,14,.643,2,4,.500,1,1,1.000,0,12,12,13,0,3,2,0,21,1.0165300454651272,0.9355093913502149,-1.1241712484732935,2.265666106304773,1.726360715190728,-1.4445586986676924,0.5157412943409957,
10,34.78333333333333,6,14,.429,0,3,.000,7,7,1.000,2,8,10,16,1,0,3,0,19,1.0165300454651272,0.46416719653424204,0.08856011442955794,0.11024451421819545,0.12311386510575119,-0.8287789598925018,1.9191711361908428,
11,36.93333333333333,13,22,.591,4,7,.571,5,8,.625,1,11,12,14,1,0,6,2,35,1.0165300454651272,-0.7141882905056974,2.62427114595372,-1.01057471366683,0.2918766914304851,-0.3361551688723512,0.574217537751406,
12,37.81666666666667,6,12,.500,1,4,.250,2,4,.500,1,15,16,12,1,0,7,0,15,-0.9837387536759294,0.6661709943125155,0.19880842014800112,0.11024451421819545,-0.80508167968029,-1.3214027509126525,-1.9987371723066483,
13,37.03333333333333,8,19,.421,2,7,.286,3,5,.600,4,3,7,5,1,0,6,1,21,-0.9837387536759294,1.6088553839444661,0.19880842014800112,1.7483649242039923,0.03873245194338271,-1.8756045158103274,-0.7707360606880322,
14,33.88333333333333,9,17,.529,1,5,.200,7,11,.636,0,2,2,12,0,0,4,1,26,1.0165300454651272,1.6425226835741815,0.364180878725662,0.9724131510528303,-1.9864214639534306,-0.15142124723979578,-0.1274973831735183,
15,37.03333333333333,12,22,.545,5,9,.556,2,4,.500,2,8,10,7,0,1,4,0,31,1.0165300454651272,-1.5558707812485113,-1.5100403184878408,-0.06218921314873153,2.232649194164933,1.5111840474532203,2.153076109832484,
16,34.68333333333333,7,17,.412,1,4,.250,3,3,1.000,0,6,6,7,3,0,6,3,18,1.0165300454651272,0.3631652976451006,0.639801643021766,-0.23462294051565852,-1.1426073323297579,0.033312674392768374,-1.0046410343296737,
17,34.733333333333334,7,16,.438,2,7,.286,2,2,1.000,1,7,8,10,0,0,5,0,18,-0.9837387536759294,1.305849687277056,-0.7934263313179719,0.11024451421819545,-1.564514398141594,-0.5824670643824221,0.04793134705771277,
18,33.083333333333336,8,18,.444,0,2,.000,0,0,,3,7,10,11,1,1,5,0,16,-0.9837387536759294,0.6661709943125155,0.19880842014800112,0.11024451421819545,-0.80508167968029,-1.3214027509126525,-1.9987371723066483,
19,33.516666666666666,5,13,.385,0,4,.000,2,2,1.000,0,8,8,6,0,0,5,0,12,1.0165300454651272,-2.4985551708804667,0.4744291844441052,-2.7349119873361,2.232649194164933,-0.6440450382599464,1.45136118890756,
20,36.06666666666667,12,28,.429,0,9,.000,3,3,1.000,1,4,5,14,0,2,3,1,27,-0.9837387536759294,1.6425226835741815,0.364180878725662,0.9724131510528303,-1.9864214639534306,-0.15142124723979578,-0.1274973831735183,
21,30.733333333333334,4,16,.250,0,4,.000,2,4,.500,3,5,8,4,0,0,6,1,10,-0.9837387536759294,-0.9498593879136863,-0.903674637036415,-1.01057471366683,0.46063951775521905,-0.21299922111731132,-0.6537835738672115,
22,29.05,12,18,.667,1,4,.250,4,4,1.000,1,4,5,8,1,0,5,2,29,-0.9837387536759294,-0.5121844927274241,-1.3997920127693977,-0.320839804199122,-0.38317461386845364,0.77224836092299,-1.823308442075417,
